placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,wednesday,thursday,friday,saturday,sunday,monday,tuesday,currentStatus,imgUrl,isClaimed,query,timestamp,info
https://www.google.com/maps/place/Concession%C3%A1ria+Chevrolet+Grande+Minas/data=!4m5!3m4!1s0xa6be00c3cc28f1:0x34396c7295a756ce!8m2!3d-19.9512592!4d-44.0330086,Concessionária Chevrolet Grande Minas,3.9,829,Chevrolet dealer,·  In-store shopping  ·  In-store pickup,"Av. General David Sarnoff, 1962 - Cidade Industrial, Contagem - MG, 32210-110, Brazil","2XX8+FQ Cidade Industrial, Contagem - State of Minas Gerais, Brazil",grandeminas.com.br,+55 31 3507-7300,8AM–7PM,8AM–7PM,8AM–7PM,8AM–4PM,Closed,8AM–7PM,8AM–7PM,Open now  8AM–7PM,https://lh5.googleusercontent.com/p/AF1QipNGxKFZbXE44IENa1K8MJb9ZQzizO7oZq7bEEy6=w408-h272-k-no,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:49:57.358Z,
https://www.google.com/maps/place/Vilarinho+Ve%C3%ADculos/data=!4m5!3m4!1s0xa68fc044d232a3:0x612788d7362d62b0!8m2!3d-19.8100963!4d-43.9644517,Vilarinho Veículos,3.9,30,Car dealer,·  In-store shopping  ·  In-store pickup,"Av. Vilarinho, 2720 - Venda Nova, Belo Horizonte - MG, 31615-250, Brazil","52QP+X6 Venda Nova, Belo Horizonte - State of Minas Gerais, Brazil",,+55 31 3245-9341,8:30AM–6:30PM,8:30AM–6:30PM,8:30AM–6:30PM,8:30AM–2PM,Closed,8:30AM–6:30PM,8:30AM–6:30PM,Open now  8:30AM–6:30PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:00.077Z,
https://www.google.com/maps/place/Chevrolet+Jorlan+Pedro+II/data=!4m5!3m4!1s0xa6974c224a03db:0x800849d559bc3af5!8m2!3d-19.9098582!4d-43.955977,Chevrolet Jorlan Pedro II,4.2,1086,Chevrolet dealer,·  In-store shopping  ·  In-store pickup,"Av. Dom Pedro II, 1520 - Jardim Montanhês, Belo Horizonte - MG, 30810-190, Brazil","32RV+3J Jardim Montanhês, Belo Horizonte - State of Minas Gerais, Brazil",jorlan.com,+55 31 3972-4124,8AM–6PM,8AM–6PM,8AM–6PM,8AM–2PM,Closed,8AM–6PM,8AM–6PM,Open now  8AM–6PM,https://lh5.googleusercontent.com/p/AF1QipOcKHDT0NsFaE4IrnwU8i8ZmW7IDKngVTQPsD2h=w426-h240-k-no,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:02.852Z,
https://www.google.com/maps/place/Planalto+Ve%C3%ADculos/data=!4m5!3m4!1s0xa68fec5eee3a83:0xeaf634c284872ff1!8m2!3d-14.2400603!4d-51.4106432,Planalto Veículos,4.4,331,Car dealer,,,,planaltoveiculos.com.br,+55 31 3443-2419,8AM–6:30PM,8AM–6:30PM,8AM–6:30PM,8AM–2:30PM,Closed,8AM–6:30PM,8AM–6:30PM,Open now  8AM–6:30PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:05.808Z,
https://www.google.com/maps/place/RECREIO+BH/data=!4m5!3m4!1s0xa697bbf562da8b:0x7aa57a1d42e0fdac!8m2!3d-19.9641866!4d-43.9605148,RECREIO BH,4.1,1659,Volkswagen dealer,·  In-store shopping  ·  In-store pickup,"Av. Barão Homem de Melo, 3535 - Estoril, Belo Horizonte - MG, 30494-275, Brazil","22PQ+8Q Estoril, Belo Horizonte - State of Minas Gerais, Brazil",recreiovw.com.br,+55 31 3319-9000,8AM–6:30PM,8AM–6:30PM,8AM–6:30PM,8AM–2PM,Closed,8AM–6:30PM,8AM–6:30PM,Open now  8AM–6:30PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:08.500Z,
https://www.google.com/maps/place/Carbel+Jap%C3%A3o+Nissan+Bar%C3%A3o/data=!4m5!3m4!1s0xa697e99361c121:0x13722e16ac535d66!8m2!3d-19.9653392!4d-43.9610798,Carbel Japão Nissan Barão,4.3,845,Nissan dealer,·  In-store shopping  ·  In-store pickup,"Av. Barão Homem de Melo, 3400 - Estoril, Belo Horizonte - MG, 30494-270, Brazil","22MQ+VH Estoril, Belo Horizonte - State of Minas Gerais, Brazil",carbeljapao.com.br,+55 31 3296-0505,8AM–6PM,8AM–6PM,8AM–6PM,9AM–2PM,Closed,8AM–6PM,8AM–6PM,Open now  8AM–6PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:11.180Z,
https://www.google.com/maps/place/Saitama+Contagem/data=!4m5!3m4!1s0xa695e4b3f0570b:0xfd0484ac653ca079!8m2!3d-19.9507617!4d-44.0261688,Saitama Contagem,4.4,674,Honda dealer,·  In-store shopping  ·  In-store pickup,"Av. Babita Camargos, 1405 - Cidade Industrial, Contagem - MG, 32210-190, Brazil","2XXF+MG Cidade Industrial, Contagem - State of Minas Gerais, Brazil",saitama.com.br,+55 31 2534-9090,8AM–6:30PM,8AM–6:30PM,8AM–6:30PM,9AM–2PM,Closed,8AM–6:30PM,8AM–6:30PM,Open now  8AM–6:30PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:15.163Z,
https://www.google.com/maps/place/Lider+dealership+BH/data=!4m5!3m4!1s0xa699e88597091d:0x81b9a327d0a418a7!8m2!3d-19.9212017!4d-43.9335021,Lider dealership BH,4.3,637,Chevrolet dealer,·  In-store shopping  ·  In-store pickup,"Av. dos Andradas, 767 - Centro, Belo Horizonte - MG, 30120-014, Brazil","33H8+GH Centro, Belo Horizonte - State of Minas Gerais, Brazil",liderbh.com.br,+55 31 3218-2100,8AM–6PM,8AM–6PM,8AM–6PM,8AM–2PM,Closed,8AM–6PM,8AM–6PM,Open now  8AM–6PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:18.178Z,
https://www.google.com/maps/place/Roma+Fiat+Contagem/data=!4m5!3m4!1s0xa6be02c05aa419:0x781607fd9d8296fb!8m2!3d-19.9524764!4d-44.0178393,Roma Fiat Contagem,3.9,1008,Fiat dealer,·  In-store shopping  ·  In-store pickup  ·  Delivery,"Av. Cardeal Eugênio Pacelli, 871 - Loja A - Cidade Industrial, Contagem - MG, 32210-002, Brazil","2XXJ+2V Cidade Industrial, Contagem - State of Minas Gerais, Brazil",minasgerais.romafiat.com.br,+55 31 3369-7050,8AM–6PM,8AM–6PM,8AM–6PM,9AM–2PM,Closed,8AM–6PM,8AM–6PM,Open now  8AM–6PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:20.879Z,LGBTQ+ friendly
https://www.google.com/maps/place/BH+Autom%C3%B3veis/data=!4m5!3m4!1s0xa6befae5ea1a39:0x98a09c4271e64be7!8m2!3d-19.9970777!4d-44.0511935,BH Automóveis,4.0,88,Car dealer,·  In-store shopping  ·  In-store pickup,"R. Júlio Mesquita, 450 - Itaipu, Belo Horizonte - MG, 30692-460, Brazil","2W3X+5G Itaipu, Belo Horizonte - State of Minas Gerais, Brazil",bhautomoveisbh.com.br,+55 31 3321-3953,8AM–6PM,8AM–6PM,8AM–6PM,8AM–12PM,Closed,8AM–6PM,8AM–6PM,Open now  8AM–6PM,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/concessionarias/@-19.9725571,-44.1170276,10.73z",2021-10-06T12:50:23.540Z,
