placeUrl,title,rating,reviewCount,category,attributes,address,plusCode,website,phoneNumber,quarta-feira,quinta-feira,sexta-feira,sábado,domingo,segunda-feira,terça-feira,currentStatus,info,imgUrl,isClaimed,query,timestamp
"https://www.google.com/maps/place/BH+MODA+FEMININA/@-19.9592605,-43.9914784,17z/data=!3m1!4b1!4m5!3m4!1s0xa6972a4b8c9b79:0xd6a44002c69b7763!8m2!3d-19.9592455!4d-43.9892609",BH MODA FEMININA,,,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja  ·  Entrega,"R. Alexandrita, 16 - Betânia, Belo Horizonte - MG, 30480-190, Brasil","22R6+77 Betânia, Belo Horizonte - MG, Brasil",bh-moda-feminina.negocio.site,+55 31 3517-3512,10:00–19:00,10:00–19:00,10:00–19:00,09:00–13:00,Fechado,10:00–19:00,10:00–19:00,Fechado  Abre às 10:00,Se identifica como administrado por mulheres,https://lh5.googleusercontent.com/p/AF1QipOlzWjfOT5m06rnF-H8IbzHuFEnlGvqLduLsBdq=w408-h544-k-no,true,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:23:36.977Z
https://www.google.com/maps/place/Phaellas+Moda+Feminina+BH/data=!4m5!3m4!1s0xa699b3bfd27ad7:0x5d44bb1fdce734af!8m2!3d-19.9393195!4d-43.9401194,Phaellas Moda Feminina BH,"4,4",9,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja  ·  Entrega,"R. Levindo Lopes, 384 - Funcionários, Belo Horizonte - MG, 30140-170, Brasil","3365+7X Funcionários, Belo Horizonte - MG, Brasil",instagram.com,+55 31 97300-3822,10:00–19:00,10:00–19:00,10:00–19:00,10:00–14:00,Fechado,10:00–19:00,10:00–19:00,Fechado  Abre às 10:00,Se identifica como administrado por mulheres,https://lh5.googleusercontent.com/p/AF1QipPT5zlza4TTGWfVoM_9I0bVSuaGnKb101fHvACE=w426-h240-k-no,true,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:23:40.551Z
"https://www.google.com/maps/place/MODA+FEMININA/@-19.9133577,-43.9414202,17z/data=!3m1!4b1!4m5!3m4!1s0xa699fece0f6805:0x612bdfb0a54787c8!8m2!3d-19.9135313!4d-43.9393722",MODA FEMININA,,,Loja,·  Compras na loja  ·  Retirada na loja,"Av. Oiapoque, 156 - Centro, Belo Horizonte - MG, 30111-070, Brasil","33P6+M8 Centro, Belo Horizonte - MG, Brasil",shoppingoi.com.br,+55 31 4042-9570,08:30–18:00,08:30–18:00,08:30–18:00,09:00–14:00,Fechado,08:30–18:00,08:30–18:00,Aberto agora  08:30–18:00,,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,false,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:23:45.089Z
https://www.google.com/maps/place/Decote/data=!4m5!3m4!1s0xa69712f85097c7:0xfc5a2247ee6d8770!8m2!3d-19.9287361!4d-43.965018,Decote,"4,7",34,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja,"R. Cuiabá, 752 - Prado, Belo Horizonte - MG, 30411-213, Brasil","32CM+GX Prado, Belo Horizonte - MG, Brasil",,+55 31 3291-9272,08:00–18:00,08:00–18:00,08:00–17:00,Fechado,Fechado,08:00–18:00,08:00–18:00,Aberto agora  08:00–18:00,,https://lh5.googleusercontent.com/p/AF1QipNw8UPk7ICJIIds-UDYfQSG75nrIfTBJPWh4Do=w426-h240-k-no,true,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:23:48.766Z
https://www.google.com/maps/place/Eterna+Roupas+%26+Acess%C3%B3rios/data=!4m5!3m4!1s0xa69743c19de96f:0x54fdb24ace6e07b6!8m2!3d-19.9214758!4d-43.9574795,Eterna Roupas & Acessórios,"4,6",5,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja,"Av. do Contorno, 9939 - Prado, Belo Horizonte - MG, 30110-140, Brasil","32HV+C2 Prado, Belo Horizonte - MG, Brasil",,+55 31 3292-4711,09:00–19:00,09:00–19:00,09:00–19:00,Fechado,Fechado,09:00–19:00,09:00–19:00,Aberto agora  09:00–19:00,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KtlXoUx14HIxAb_m-pFzRQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=277.69296&pitch=0&thumbfov=100,true,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:23:51.886Z
https://www.google.com/maps/place/Baiuka+Modas+-+Roupas+Femininas/data=!4m5!3m4!1s0xa699e39d80c349:0xf0ca8fbf87aa865f!8m2!3d-19.921315!4d-43.939358,Baiuka Modas - Roupas Femininas,"4,2",56,Loja de moda feminina,,"R. Rio de Janeiro, 788 - 6 - Centro, Belo Horizonte - MG, 30160-041, Brasil","33H6+F7 Centro, Belo Horizonte - MG, Brasil",baiukamodas.com.br,+55 31 99437-4737,09:00–19:00,09:00–19:00,09:00–19:00,09:00–14:00,Fechado,09:00–19:00,09:00–19:00,Temporariamente fechado,Se identifica como administrado por mulheres,https://lh5.googleusercontent.com/p/AF1QipNNeIzU4vQc1cn6gMIwGR0Zxc56r6gXqLWwQ367=w408-h408-k-no,true,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:23:54.664Z
https://www.google.com/maps/place/Hangar+Moda+Feminina/data=!4m5!3m4!1s0xa6976c5aca0b83:0x6f42a65bd26988ad!8m2!3d-19.9296414!4d-43.9597387,Hangar Moda Feminina,"4,0",5,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja  ·  Entrega,"Av. Francisco Sá, 787 - Prado, Belo Horizonte - MG, 30410-060, Brasil","32CR+44 Prado, Belo Horizonte - MG, Brasil",hangarstore.com.br,+55 31 3371-1115,09:30–18:30,09:30–18:30,09:30–18:30,10:00–14:00,Fechado,09:30–18:30,09:30–18:30,Fechado  Abre às 09:30,,https://lh5.googleusercontent.com/p/AF1QipNt1icbVJ5ZzplJCMxFJz5xia1VmadxT92T8z0=w433-h240-k-no,false,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:23:57.507Z
https://www.google.com/maps/place/Macad%C3%A2mia+Moda+Feminina/data=!4m5!3m4!1s0xa699dafbac2873:0x110cd421305bfc7c!8m2!3d-19.9376283!4d-43.9361041,Macadâmia Moda Feminina,,,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja,"Av. Cristóvão Colombo, 287 - 312 - Savassi, Belo Horizonte - MG, 30140-150, Brasil","3367+WH Savassi, Belo Horizonte - MG, Brasil",guia-se.com.br,+55 31 99899-0098,09:00–19:00,09:00–19:00,09:00–19:00,09:00–14:00,Fechado,09:00–19:00,09:00–19:00,Aberto agora  09:00–19:00,,https://www.gstatic.com/images/icons/material/system_gm/1x/restaurant_black_18dp.png,true,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:24:00.435Z
https://www.google.com/maps/place/Cleo+Moda+Feminina/data=!4m5!3m4!1s0xa699e5ab4006bd:0x756935a65fcfe6f9!8m2!3d-19.9232134!4d-43.9364524,Cleo Moda Feminina,,,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja,"Av. Afonso Pena, 1170 - Loja 216 - Centro, Belo Horizonte - MG, 30130-003, Brasil","33G7+PC Centro, Belo Horizonte - MG, Brasil",,+55 31 3226-2948,09:00–19:00,09:00–19:00,09:00–19:00,09:00–13:00,08:00–15:00,09:00–19:00,09:00–19:00,Aberto agora  09:00–19:00,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NpymtF8miCqik7zA-2g5Sg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.39117&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:24:04.061Z
https://www.google.com/maps/place/Moda+de+Minas/data=!4m5!3m4!1s0xa699e22b124341:0xea29827042695826!8m2!3d-19.9222035!4d-43.9479951,Moda de Minas,"5,0",1,Loja de moda feminina,·  Compras na loja  ·  Retirada na loja,"Av. Augusto de Lima, 1263 - Centro, Belo Horizonte - MG, 30180-003, Brasil","33H2+4R Centro, Belo Horizonte - MG, Brasil",modaminas.com,+55 31 2535-2483,09:00–18:00,09:00–18:00,09:00–18:00,Fechado,Fechado,09:00–18:00,09:00–18:00,Aberto agora  09:00–18:00,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ww2y7GggwmSZCQzbQS0XNQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=195.08359&pitch=0&thumbfov=100,false,"https://www.google.com/maps/search/moda+feminina+belo+horizonte/@-19.9847701,-44.0335663,12z/data=!3m1!4b1",2021-10-06T12:24:07.085Z
